N_unmapped	482755	482755	482755
N_multimapping	4958409	4958409	4958409
N_noFeature	2825500	22982777	3172322
N_ambiguous	1283536	24785	554411
ENSG00000223972	0	0	0
ENSG00000227232	4	0	4
ENSG00000243485	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	0	0	0
ENSG00000239945	0	0	0
ENSG00000233750	1	1	0
ENSG00000237683	96	0	96
ENSG00000268903	0	0	0
ENSG00000269981	0	0	0
ENSG00000239906	1	0	1
ENSG00000241860	4	0	4
ENSG00000222623	0	0	0
ENSG00000241599	0	0	0
ENSG00000228463	1	0	1
ENSG00000241670	0	0	0
ENSG00000237094	0	0	0
ENSG00000250575	0	0	0
ENSG00000233653	0	0	0
ENSG00000224813	0	0	0
ENSG00000235249	0	0	0
ENSG00000269732	0	0	0
ENSG00000256186	0	0	0
ENSG00000236601	0	0	0
ENSG00000236743	0	0	0
ENSG00000236679	0	0	0
ENSG00000231709	0	0	0
ENSG00000235146	0	0	0
ENSG00000239664	0	0	0
ENSG00000230021	0	0	0
ENSG00000223659	0	0	0
ENSG00000225972	1427	52	1376
ENSG00000225630	334	23	311
ENSG00000237973	16486	73	16413
ENSG00000229344	26	0	26
ENSG00000240409	2	0	2
ENSG00000248527	26	3	23
ENSG00000198744	8229	379	7850
ENSG00000268663	0	0	0
ENSG00000185097	0	0	0
ENSG00000229376	0	0	0
ENSG00000224956	9	0	9
ENSG00000235373	0	1	0
ENSG00000223181	0	0	0
ENSG00000240618	0	0	0
ENSG00000229905	0	0	0
ENSG00000228327	2	0	2
ENSG00000237491	8	2	6
ENSG00000230092	1	0	1
ENSG00000269831	1	1	0
ENSG00000240453	0	2	0
ENSG00000177757	4	4	2
ENSG00000225880	9	0	9
ENSG00000228794	98	0	98
ENSG00000230368	0	0	0
ENSG00000234711	0	0	0
ENSG00000269308	0	0	0
ENSG00000272438	0	0	0
ENSG00000230699	4	0	4
ENSG00000241180	0	0	0
ENSG00000223764	5	3	2
ENSG00000187634	6	239	13
ENSG00000268179	0	0	0
ENSG00000188976	1200	11	1435
ENSG00000187961	248	8	240
ENSG00000187583	226	10	235
ENSG00000187642	45	63	1
ENSG00000272512	8	0	8
ENSG00000188290	367	0	367
ENSG00000231702	0	0	0
ENSG00000224969	0	0	0
ENSG00000187608	78	0	78
ENSG00000188157	12530	62	12468
ENSG00000242590	0	0	0
ENSG00000217801	80	29	60
ENSG00000273443	1	7	3
ENSG00000237330	204	0	204
ENSG00000131591	572	11	561
ENSG00000223823	7	2	5
ENSG00000207730	34	2	32
ENSG00000207607	64	0	64
ENSG00000198976	80	0	80
ENSG00000272141	864	3	861
ENSG00000205231	3	6	0
ENSG00000162571	20	1	22
ENSG00000186891	4	0	4
ENSG00000186827	5	0	5
ENSG00000078808	4063	26	4038
ENSG00000176022	338	4	334
ENSG00000184163	140	1	139
ENSG00000260179	18	0	18
ENSG00000160087	1047	10	1037
ENSG00000230415	4	0	4
