N_unmapped	477936	477936	477936
N_multimapping	4942202	4942202	4942202
N_noFeature	3129615	24379929	3477207
N_ambiguous	1375756	27847	579033
ENSG00000223972	0	0	0
ENSG00000227232	8	1	7
ENSG00000243485	0	0	0
ENSG00000237613	0	0	0
ENSG00000268020	0	0	0
ENSG00000240361	0	0	0
ENSG00000186092	0	0	0
ENSG00000238009	0	0	0
ENSG00000239945	0	0	0
ENSG00000233750	0	0	0
ENSG00000237683	20	0	20
ENSG00000268903	0	0	0
ENSG00000269981	0	0	0
ENSG00000239906	0	0	0
ENSG00000241860	1	0	1
ENSG00000222623	0	0	0
ENSG00000241599	1	0	1
ENSG00000228463	0	0	0
ENSG00000241670	0	0	0
ENSG00000237094	2	0	2
ENSG00000250575	0	0	0
ENSG00000233653	0	0	0
ENSG00000224813	0	0	0
ENSG00000235249	0	0	0
ENSG00000269732	0	0	0
ENSG00000256186	0	0	0
ENSG00000236601	0	0	0
ENSG00000236743	0	0	0
ENSG00000236679	0	0	0
ENSG00000231709	0	0	0
ENSG00000235146	0	0	0
ENSG00000239664	0	0	0
ENSG00000230021	0	0	0
ENSG00000223659	0	0	0
ENSG00000225972	16	1	15
ENSG00000225630	51	1	50
ENSG00000237973	699	7	692
ENSG00000229344	49	2	47
ENSG00000240409	2	0	2
ENSG00000248527	40	3	37
ENSG00000198744	10991	300	10691
ENSG00000268663	0	0	0
ENSG00000185097	0	0	0
ENSG00000229376	0	0	0
ENSG00000224956	7	0	7
ENSG00000235373	0	0	0
ENSG00000223181	0	0	0
ENSG00000240618	0	0	0
ENSG00000229905	0	0	0
ENSG00000228327	0	0	0
ENSG00000237491	6	2	4
ENSG00000230092	2	0	2
ENSG00000269831	0	0	0
ENSG00000240453	0	0	0
ENSG00000177757	5	4	1
ENSG00000225880	13	0	13
ENSG00000228794	83	1	82
ENSG00000230368	0	0	0
ENSG00000234711	1	0	1
ENSG00000269308	0	0	0
ENSG00000272438	1	0	1
ENSG00000230699	6	0	6
ENSG00000241180	0	0	0
ENSG00000223764	10	3	7
ENSG00000187634	1	286	2
ENSG00000268179	0	0	0
ENSG00000188976	1475	18	1744
ENSG00000187961	292	12	280
ENSG00000187583	200	5	208
ENSG00000187642	59	72	0
ENSG00000272512	0	0	0
ENSG00000188290	124	3	121
ENSG00000231702	0	0	0
ENSG00000224969	0	0	0
ENSG00000187608	71	0	71
ENSG00000188157	6384	17	6367
ENSG00000242590	0	0	0
ENSG00000217801	72	58	14
ENSG00000273443	2	0	2
ENSG00000237330	93	3	90
ENSG00000131591	497	5	492
ENSG00000223823	18	4	14
ENSG00000207730	21	0	21
ENSG00000207607	60	0	60
ENSG00000198976	73	0	73
ENSG00000272141	921	3	918
ENSG00000205231	0	1	0
ENSG00000162571	2	0	3
ENSG00000186891	0	0	0
ENSG00000186827	0	0	0
ENSG00000078808	3836	13	3823
ENSG00000176022	391	2	389
ENSG00000184163	82	0	82
ENSG00000260179	16	0	16
ENSG00000160087	1127	17	1110
ENSG00000230415	1	0	1
ENSG00000162572	69	0	69
ENSG00000131584	987	41	985
ENSG00000169972	225	90	292
ENSG00000127054	1998	86	2030
ENSG00000240731	57	10	47
ENSG00000224051	526	1	525
ENSG00000169962	12	47	5
ENSG00000107404	3304	25	3319
ENSG00000162576	349	346	3
ENSG00000175756	1706	8	1698
ENSG00000223663	0	0	0
ENSG00000221978	4460	22	4438
ENSG00000224870	236	329	239
ENSG00000242485	1041	26	1347
ENSG00000264293	0	0	0
ENSG00000272455	43	1	42
ENSG00000235098	7	1	6
ENSG00000225905	0	0	0
ENSG00000205116	0	0	0
ENSG00000225285	22	0	22
ENSG00000179403	806	13	793
ENSG00000215915	4	0	4
ENSG00000160072	632	4	628
ENSG00000197785	628	1	627
ENSG00000205090	0	0	0
ENSG00000160075	1711	12	1699
ENSG00000215791	0	0	0
ENSG00000215014	4	0	4
ENSG00000236684	0	0	0
ENSG00000228594	128	0	128
ENSG00000272106	110	12	121
ENSG00000197530	1128	20	1131
ENSG00000189409	0	0	0
ENSG00000248333	665	7	658
ENSG00000272004	0	93	6
ENSG00000189339	1242	11	1330
ENSG00000269737	118	118	0
ENSG00000269227	21	21	0
ENSG00000215914	0	0	0
ENSG00000008128	83	0	83
ENSG00000268575	25	0	37
ENSG00000227775	41	53	0
ENSG00000215790	24	0	24
ENSG00000008130	1528	8	1520
ENSG00000078369	11358	62	11296
ENSG00000231050	4	0	4
ENSG00000169885	5	0	5
ENSG00000178821	96	0	96
ENSG00000142609	3	0	3
ENSG00000233542	0	0	0
ENSG00000187730	0	0	0
ENSG00000226969	0	0	0
ENSG00000067606	850	35	1416
ENSG00000271806	9	132	0
ENSG00000182873	195	200	2
ENSG00000162585	541	465	611
ENSG00000269554	0	62	2
ENSG00000203301	2	2	0
ENSG00000243558	0	0	0
ENSG00000234396	0	0	0
ENSG00000157933	869	6	863
ENSG00000116151	50	0	83
ENSG00000272161	1	0	1
ENSG00000269753	0	0	0
ENSG00000269896	23	0	23
ENSG00000238240	0	0	0
ENSG00000272420	12	0	12
