ID	Name	Length	BI-2	D-10	D-64	D-11c	D-14c	D-15c	logFC	logCPM	PValue	FDR
ENSG00000166317	SYNPO2L	5141	1.05125557772424	0	1.14398816886982	0	0	0.0132980663240228	7.07130491443116	0.987500076143391	1.81217981585443e-18	1.74950859722279e-15
ENSG00000266711	RP11-398J5.1	544	0.183976883342875	1.31976029702021	0.470048207813279	0	0	0	5.70037603554953	-1.76873994494476	4.78884041852923e-05	0.00275930746140405
ENSG00000250385	RP11-310P5.2	440	0.341193492744968	1.39860311995908	0.232460204591295	0	0	0	5.40373064598938	-1.9494700557594	0.000194352530182047	0.00886446481164967
ENSG00000270777	RP11-103J8.2	459	0.218046676554519	1.11725739430283	0.334256503333888	0	0	0	5.22585922966083	-2.05102396229822	0.000518073842386122	0.0197161870148012
ENSG00000182985	CADM1	11232	0.133658419522602	1.41537174710959	1.87590749146679	0.00926193043704502	0.0262073784100544	0.0547799350735588	5.18324214990664	2.69954677817786	8.24485794544567e-21	1.19395849122485e-17
ENSG00000238133	MLK7-AS1	3147	0.0477042061670754	1.53178225403844	2.45386971608605	0	0	0.130343868392376	4.94224243709321	1.16788568743411	8.12822922789515e-15	3.84349124919042e-12
ENSG00000266420	RN7SL118P	299	0	1.54360879460367	0.342081906421972	0	0	0	4.79255235852445	-2.27675159308324	0.00417781052568809	0.0978617880979541
ENSG00000230202	RP11-632C17__A.1	473	35.653397536451	1.30102615810147	0.864968203130398	0.329904871042991	0.746793930575216	0.289071285293029	4.69929030156774	1.68440536333038	2.06397116008969e-16	1.32083311707652e-13
ENSG00000235829	TBCAP2	324	0	0	1.57843348796558	0	0	0	4.64742581976287	-2.34594846668665	0.0072486289948964	0.143670430976689
ENSG00000213630	RP11-772E11.1	231	0	0.222000495231601	1.77112536831463	0	0	0	4.5039886414255	-2.41035405380523	0.0127382119995203	0.207848149316117
ENSG00000223318	RNA5SP111	100	0	4.61539029586498	13.296723702622	0	0	0.683653589718014	4.41472610013318	-1.24592452540263	1.47804542739081e-05	0.00102533869918099
ENSG00000201524	RNU6-450P	106	0.944183250363435	0.483793532061319	2.41232287783419	0	0	0	4.34505766125258	-2.47758391393231	0.022686992301979	0.291267509418022
ENSG00000138792	ENPEP	5987	0.183884695160141	3.88877232953381	2.00738142264405	0.112943881300782	0.108166828706165	0.0570948379587451	4.33331617425111	2.6587488523301	3.20019766595946e-17	2.47161933067602e-14
ENSG00000101825	MXRA5	9786	0.184089683393974	1.6716732570122	0.120197081057833	0.0637829568785345	0.0180479015513017	0.00698603709092596	4.29689487730014	1.78672601554073	1.58651961564036e-15	8.35446806690615e-13
