Annotation analysis of the 83 genes differentially expressed (FC >0.5) in CD organoids by DAVID FDR< .05
UPREGULATED
Category	Term	%	PValue	Genes	Fold Enrichment	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	28.749999999999996	2.001074988722309E-6	ENSG00000228080, ENSG00000107984, ENSG00000135218, ENSG00000100292, ENSG00000130701, ENSG00000120708, ENSG00000179914, ENSG00000099250, ENSG00000160182, ENSG00000138792, ENSG00000160181, ENSG00000170835, ENSG00000231834, ENSG00000169752, ENSG00000204642, ENSG00000166825, ENSG00000164822, ENSG00000100665, ENSG00000163536, ENSG00000167759, ENSG00000224608, ENSG00000184502, ENSG00000127951	3.0688509719498405	3.321784481279033E-4	2.9816017331962407E-4
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	12.5	2.5241133392481842E-5	ENSG00000228080, ENSG00000138792, ENSG00000231834, ENSG00000135218, ENSG00000204642, ENSG00000166825, ENSG00000113303, ENSG00000138448, ENSG00000224608, ENSG00000165029	6.323070868525413	0.002095014071575993	0.0018804644377398972
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	45.0	2.3463156826055933E-4	ENSG00000105971, ENSG00000228080, ENSG00000105974, ENSG00000120708, ENSG00000213903, ENSG00000157214, ENSG00000171303, ENSG00000157557, ENSG00000198959, ENSG00000138792, ENSG00000231834, ENSG00000055118, ENSG00000100365, ENSG00000128512, ENSG00000224608, ENSG00000182985, ENSG00000165029, ENSG00000107984, ENSG00000066230, ENSG00000135218, ENSG00000113303, ENSG00000170681, ENSG00000196730, ENSG00000138448, ENSG00000174885, ENSG00000204442, ENSG00000165194, ENSG00000099250, ENSG00000169752, ENSG00000169213, ENSG00000204642, ENSG00000102879, ENSG00000165272, ENSG00000100314, ENSG00000166825, ENSG00000007171	1.7463073407279415	0.009250924304824581	0.008303540490475075
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	16.25	5.860974660878018E-4	ENSG00000105971, ENSG00000135218, ENSG00000105974, ENSG00000170835, ENSG00000231834, ENSG00000100228, ENSG00000169213, ENSG00000162645, ENSG00000189339, ENSG00000224608, ENSG00000128512, ENSG00000164125, ENSG00000165029	3.2057969303423848	0.013898882767225014	0.012475503206726066
GOTERM_CC_DIRECT	GO:0055038~recycling endosome membrane	6.25	8.244530702722157E-4	ENSG00000231834, ENSG00000066230, ENSG00000181652, ENSG00000204642, ENSG00000224608	11.793901750423489	0.015635616676229525	0.014034378823844573
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	23.75	0.0010175722546241425	ENSG00000228080, ENSG00000066230, ENSG00000111348, ENSG00000120708, ENSG00000138448, ENSG00000179914, ENSG00000198959, ENSG00000138792, ENSG00000170835, ENSG00000231834, ENSG00000101825, ENSG00000169213, ENSG00000102879, ENSG00000166825, ENSG00000100665, ENSG00000163536, ENSG00000183311, ENSG00000224608, ENSG00000127951	2.282522172247593	0.015635616676229525	0.014034378823844573
GOTERM_CC_DIRECT	GO:0009986~cell surface	11.25	0.0026388383706347504	ENSG00000228080, ENSG00000170835, ENSG00000231834, ENSG00000135218, ENSG00000066230, ENSG00000204642, ENSG00000138448, ENSG00000055118, ENSG00000224608	3.7158868528731546	0.02896086369607711	0.025994992112743913
GOTERM_CC_DIRECT	GO:0045335~phagocytic vesicle	5.0	0.0027914085490194805	ENSG00000135218, ENSG00000102879, ENSG00000138448, ENSG00000165029	14.091415078428067	0.02896086369607711	0.025994992112743913
GOTERM_CC_DIRECT	GO:0042613~MHC class II protein complex	3.75	0.004012834003455633	ENSG00000228080, ENSG00000231834, ENSG00000224608	31.299200799200797	0.037007246920757506	0.03321734813971608
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	7.5	0.015755003966479695	ENSG00000228080, ENSG00000138792, ENSG00000231834, ENSG00000204642, ENSG00000166825, ENSG00000224608	4.038606554735587	0.1245395551636014	0.11178550433359402
GOTERM_CC_DIRECT	GO:0005576~extracellular region	18.75	0.018371743042110707	ENSG00000107984, ENSG00000120708, ENSG00000179914, ENSG00000096395, ENSG00000160182, ENSG00000198959, ENSG00000170835, ENSG00000101825, ENSG00000169752, ENSG00000164822, ENSG00000100665, ENSG00000167759, ENSG00000183311, ENSG00000184502, ENSG00000127951	1.9366473602551662	0.13862315204501716	0.12442680514884069
GOTERM_CC_DIRECT	GO:0010008~endosome membrane	6.25	0.0204588622588516	ENSG00000228080, ENSG00000231834, ENSG00000100365, ENSG00000224608, ENSG00000157214	4.74230315139406	0.14765961456388546	0.13253784680734298
GOTERM_CC_DIRECT	GO:0031526~brush border membrane	3.75	0.021462992969499318	ENSG00000135218, ENSG00000066230, ENSG00000179914	13.125471302890658	0.14845236803903694	0.13324941468564158
GOTERM_CC_DIRECT	GO:0030666~endocytic vesicle membrane	3.75	0.029813534973324795	ENSG00000228080, ENSG00000135218, ENSG00000105974	10.997016497016496	0.19796187222287662	0.17768866844101577
